drug,trial,condition,sponsor,sponsor_class
Semaglutide 0.5 mg,NCT06788626,Endovascular Treatment,Wei Hu,OTHER
Semaglutide 0.5 mg,NCT06788626,Large Vessel Occlusion,Wei Hu,OTHER
Semaglutide 0.5 mg,NCT06788626,Neuroprotective Drugs,Wei Hu,OTHER
Semaglutide,NCT05586802,Klinefelter Syndrome,Georgios Papadakis,OTHER
Semaglutide Pen Injector,NCT05870462,Obesity,Canadian Medical and Surgical Knowledge Translation Research Group,OTHER
Semaglutide Pen Injector,NCT05870462,"Diabetes Mellitus, Type 2",Canadian Medical and Surgical Knowledge Translation Research Group,OTHER
Semaglutide Pen Injector,NCT05870462,Atherosclerosis,Canadian Medical and Surgical Knowledge Translation Research Group,OTHER
Semaglutide Pen Injector,NCT05870462,Cardiovascular Diseases,Canadian Medical and Surgical Knowledge Translation Research Group,OTHER
Semaglutide,NCT06282458,Obesity,Veru Inc.,INDUSTRY
Semaglutide,NCT06282458,Muscle Loss,Veru Inc.,INDUSTRY
Semaglutide,NCT04126603,"Diabetes Mellitus, Type 2",Sabyasachi Sen,OTHER
Semaglutide Administered SC,NCT06974825,Type 2 Diabetes,"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY
Drug: Semaglutide Administered SC,NCT06716216,Type 2 Diabetes Mellitus (T2DM),"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY
Semaglutide,NCT07064486,Type 2 Diabetes (T2DM),"BrightGene Bio-Medical Technology Co., Ltd.",INDUSTRY
"Semaglutide Extended-release for Injectable Suspension, 1 mg",NCT06422624,"Diabetes Mellitus, Type 2","Bostal Drug Delivery Co., Ltd",INDUSTRY
"Semaglutide Extended-release for Injectable Suspension, 4 mg",NCT06422624,"Diabetes Mellitus, Type 2","Bostal Drug Delivery Co., Ltd",INDUSTRY
"Semaglutide Extended-release for Injectable Suspension, 8 mg",NCT06422624,"Diabetes Mellitus, Type 2","Bostal Drug Delivery Co., Ltd",INDUSTRY
Semaglutide Injectable Product,NCT06500429,Healthy,"Neurogastrx, Inc.",INDUSTRY
Semaglutide Injectable Product,NCT06500429,Overweight and Obesity,"Neurogastrx, Inc.",INDUSTRY
