trial,enrollment,phase
NCT00658125,6.0,
NCT00089882,360.0,
NCT06639282,105.0,PHASE2
NCT05514756,40.0,
NCT07066137,150.0,
NCT02951598,1400.0,
NCT04635540,75.0,
NCT02819700,49.0,
NCT06492109,60.0,
NCT04165213,85.0,
NCT01823666,250.0,
NCT00593372,11.0,PHASE1
NCT05454540,60.0,
NCT05977088,40.0,
NCT01430286,49.0,
NCT06432166,48.0,PHASE1;PHASE2
NCT01122329,17.0,PHASE4
NCT04094129,0.0,
NCT05383053,227.0,
NCT05055895,450.0,
NCT06742944,100.0,
NCT00151398,229.0,PHASE2
NCT04841135,120.0,
NCT00285025,500.0,PHASE2
NCT03960476,293.0,
NCT04100889,0.0,
NCT03739905,30.0,
NCT04949529,355.0,
NCT01231295,143.0,
NCT03184467,96.0,PHASE2
NCT03635047,69.0,PHASE1
NCT06129838,80.0,
NCT03279523,60.0,
NCT06691256,70.0,PHASE2
NCT04019665,0.0,
NCT04563767,4.0,
NCT02770482,204.0,
NCT04795466,34.0,PHASE2
NCT05853471,30.0,PHASE1;PHASE2
NCT05194787,3000.0,
NCT00301574,398.0,PHASE3
NCT06179979,60.0,
NCT04913454,20.0,
NCT06017505,1486.0,
NCT04903171,130.0,
NCT06699589,278.0,
NCT06930560,300.0,
NCT06134180,14.0,
NCT05456503,72.0,PHASE3
NCT05016427,12.0,PHASE1
NCT06680154,30.0,
NCT04247347,92.0,
NCT05569083,350.0,
NCT05669495,750.0,
NCT02612376,800.0,
NCT00956410,21.0,PHASE2
NCT03381482,71.0,
NCT04095962,110.0,
NCT04031469,1000.0,
NCT03080051,6.0,EARLY_PHASE1
NCT01772095,389.0,
NCT06246019,200.0,
NCT05847192,91.0,
NCT03899844,1122.0,
NCT03115814,6.0,
NCT05846984,200.0,
NCT07142278,24.0,PHASE1
NCT06022068,14.0,PHASE1;PHASE2
NCT00979316,62.0,PHASE1
NCT02844855,83.0,
NCT00177489,613.0,
NCT04571502,58.0,
NCT03560245,108.0,PHASE2
NCT04325204,54.0,
NCT01314638,100.0,
NCT04075435,12.0,EARLY_PHASE1
NCT05655650,300.0,
NCT06812442,40.0,
NCT02337907,329.0,PHASE2
NCT05916664,495.0,
NCT00071721,313.0,PHASE3
NCT04102514,198.0,
NCT05322343,2050.0,
NCT03089918,11.0,PHASE1
NCT01095718,300.0,
NCT06105320,40.0,
NCT07115238,354.0,PHASE3
NCT02854917,20.0,
NCT06668610,50.0,
NCT03757910,5.0,EARLY_PHASE1
NCT05153161,9.0,PHASE1
NCT03443973,975.0,PHASE3
NCT00208819,50.0,PHASE4
NCT06274528,201.0,PHASE2
NCT00249158,344.0,PHASE3
NCT01434940,288.0,
NCT06045988,100.0,
NCT06025877,400.0,
NCT03903211,84.0,PHASE2
NCT06570109,130.0,
NCT05345509,62.0,PHASE1;PHASE2
NCT05607732,45257.0,
NCT00046358,50.0,PHASE4
NCT03493282,43.0,PHASE1;PHASE2
NCT01000870,6.0,EARLY_PHASE1
NCT02204969,100.0,PHASE1;PHASE2
NCT04466722,10000.0,
NCT04255329,0.0,
NCT05063539,327.0,PHASE2
NCT05172128,12.0,
NCT00178165,1200.0,
NCT06582706,30.0,PHASE1;PHASE2
NCT00480701,26.0,PHASE2
NCT02958930,8.0,
NCT03634007,15.0,PHASE1;PHASE2
NCT03943264,20.0,PHASE1
NCT00480818,80.0,PHASE1
NCT03371420,5.0,EARLY_PHASE1
NCT06669546,60.0,
