trial,enrollment,phase
NCT05737810,700.0,
NCT01238224,22.0,PHASE1
NCT05000996,300.0,
NCT05264727,60.0,PHASE4
NCT01940770,1137.0,
NCT06462170,90.0,
NCT02056366,91.0,PHASE4
NCT05271695,150.0,
NCT01882907,287.0,PHASE4
NCT04442334,10000.0,
NCT03037099,67.0,
NCT04972955,240.0,
NCT04531176,74.0,PHASE4
NCT00895986,134.0,
NCT01455870,535.0,PHASE3
NCT06243536,60.0,PHASE4
NCT06670209,32.0,PHASE1
NCT01999452,0.0,
NCT05374343,32.0,PHASE1
NCT00251680,400.0,PHASE3
NCT02161094,1300.0,
NCT02248857,452.0,
NCT04004793,328.0,PHASE4
NCT02736084,15.0,
NCT01877590,66.0,PHASE4
NCT01586442,62.0,PHASE3
NCT05979142,131.0,
NCT03549754,35000.0,
NCT04316429,35.0,
NCT05048719,383.0,PHASE2
NCT06457984,300.0,
NCT00392678,277.0,PHASE2;PHASE3
NCT06694974,540.0,
NCT03311724,111.0,PHASE2
NCT01000688,16.0,PHASE3
NCT01245270,8.0,
NCT04001231,0.0,PHASE1
NCT04864977,0.0,PHASE4
NCT04190212,12.0,
NCT06673212,11.0,
NCT04579900,40.0,
NCT05888909,2000.0,
NCT00534014,8.0,
NCT01771614,0.0,
NCT00481897,113.0,
NCT00577824,181.0,PHASE3
NCT01666223,20.0,
NCT01455896,4156.0,PHASE3
NCT06053177,400.0,
NCT06086912,24.0,PHASE1
NCT01368328,57.0,PHASE3
NCT05762744,63.0,PHASE1
NCT00950963,762.0,
NCT00252876,2000.0,PHASE3
NCT06933940,26.0,
NCT06904690,200.0,
NCT01877603,200.0,
NCT02360527,126.0,
NCT02655627,61.0,
NCT01660386,12.0,PHASE4
NCT05676593,40.0,
NCT06002048,4000.0,
NCT02948673,20.0,
NCT03299153,46.0,PHASE4
NCT06615700,74.0,PHASE1
NCT05572814,750.0,
NCT06184568,349.0,PHASE3
NCT05345327,994.0,PHASE3
NCT06089070,20.0,
NCT05735873,0.0,
NCT05436041,82.0,
NCT00982254,10.0,PHASE1
NCT04621656,1022.0,
NCT06174129,427.0,
NCT05138432,200.0,
NCT06517784,752.0,
NCT00819455,537.0,
NCT02709915,28.0,
NCT05629117,83.0,
NCT03726762,81.0,
NCT02686177,50.0,PHASE4
NCT03959865,6000.0,
NCT00871936,82.0,PHASE2
NCT02198209,0.0,PHASE4
NCT01140893,110.0,PHASE2;PHASE3
NCT04907006,24.0,PHASE1
NCT02098733,1168.0,
NCT05004948,57.0,
NCT00332085,40.0,PHASE1
NCT05054842,174.0,PHASE3
NCT04088851,23.0,
NCT00523393,75.0,PHASE4
NCT00440284,38.0,PHASE3
NCT01636349,22.0,
NCT02412774,81.0,
NCT00631774,60.0,
NCT04317703,40.0,PHASE1
NCT03199261,24.0,PHASE1
NCT02001805,200.0,
NCT01366794,36.0,
NCT02963766,154.0,PHASE3
NCT03125772,1830.0,
NCT05378295,44.0,
NCT01141192,48.0,
NCT00952198,128.0,PHASE1
NCT00765817,261.0,PHASE3
NCT01270191,160.0,PHASE4
NCT01547403,0.0,
NCT02608177,3.0,
NCT02709057,1200.0,
NCT04997512,300.0,
NCT00376181,96.0,PHASE3
NCT05579119,76.0,PHASE4
NCT02245399,164.0,
NCT00982293,165.0,PHASE2
NCT06007404,175.0,
NCT05668325,40.0,
NCT01038518,1522.0,
NCT00699790,58.0,PHASE2
NCT04646746,20.0,
NCT06890286,53.0,PHASE1
NCT05535322,26944.0,
NCT06972251,20.0,
NCT00660907,1217.0,PHASE3
NCT07037121,0.0,
NCT05768958,58.0,
NCT04734015,162.0,
NCT02817217,24.0,PHASE1
NCT00698789,48.0,PHASE2
NCT00311324,201.0,
NCT02721602,7.0,
NCT01204775,26.0,PHASE3
NCT05394571,250.0,
NCT06462534,203.0,
NCT00208221,50.0,PHASE3
NCT02493374,0.0,
NCT05333718,1200.0,
NCT02411682,28.0,
NCT01961024,21.0,
NCT04020822,19.0,
NCT04535700,8.0,PHASE4
NCT00950209,20.0,
NCT05576298,46.0,PHASE1
NCT00506298,150.0,PHASE2
NCT00705952,22.0,
NCT00579150,7.0,
NCT01025856,45.0,
NCT05707481,92.0,
NCT00997178,514.0,PHASE3
NCT02779790,1.0,
NCT02709577,36.0,PHASE1;PHASE2
NCT01290575,67.0,PHASE1
NCT06120881,20.0,EARLY_PHASE1
NCT02822534,24.0,PHASE1
NCT02817243,24.0,PHASE1
NCT00261417,250.0,PHASE2
NCT01270789,63.0,PHASE3
NCT01169090,620.0,PHASE2
NCT04178603,21.0,
NCT00734669,12.0,
NCT06897475,240.0,PHASE2
NCT00484419,169.0,PHASE3
NCT07120334,40.0,
NCT01353118,41.0,
NCT00991380,200.0,
NCT02498002,54.0,
NCT04461236,38.0,
NCT00675311,300.0,
NCT00865033,32.0,PHASE1
NCT02058147,1170.0,PHASE3
NCT04183543,40.0,
NCT05001815,80.0,
NCT05335889,12.0,
NCT01969318,120.0,PHASE2
NCT04208620,16.0,PHASE1
NCT04090580,88.0,PHASE3
NCT00803296,32.0,
NCT06626646,40.0,
NCT00854503,30.0,PHASE3
NCT06145542,56.0,
NCT02235194,20.0,
NCT01222429,50.0,
NCT01771445,18.0,
NCT00400036,24.0,PHASE2
NCT02587936,18268.0,
NCT00817778,27.0,PHASE2
NCT06750497,26.0,
NCT00638560,40.0,PHASE1
NCT00302224,50.0,PHASE1;PHASE2
NCT00979823,341.0,
NCT05560386,54.0,
NCT00818077,15.0,
NCT01921881,10.0,PHASE1
NCT03336528,180.0,PHASE4
NCT00784511,100.0,PHASE2
NCT05894252,103.0,
NCT06229847,448.0,
NCT04765358,235.0,
NCT00700908,120.0,
NCT06639425,60.0,
NCT01664624,40.0,PHASE1
NCT02310724,517.0,
NCT04161170,294.0,
NCT06649773,137.0,PHASE3
NCT04403841,405.0,
NCT06535295,148.0,
NCT05941000,3.0,
NCT02444364,0.0,EARLY_PHASE1
NCT06298799,400.0,
NCT01951547,40.0,
NCT04245826,1.0,
NCT02918591,10.0,
NCT02723110,40.0,
NCT06730113,930.0,
NCT06319560,56.0,
NCT04663061,65.0,
NCT06704802,678.0,
NCT02057172,254.0,PHASE2
NCT06979401,40.0,
NCT01728116,325.0,
NCT04054284,60.0,
NCT02386943,12.0,PHASE4
NCT07077525,196.0,PHASE4
NCT02162550,148.0,PHASE4
NCT04702490,120.0,PHASE2
NCT00160160,440.0,
NCT00774553,70.0,PHASE1
NCT04847219,239.0,
NCT02671864,7200.0,
NCT01469104,7.0,
NCT00986349,23.0,
NCT03982238,74.0,PHASE4
NCT06393348,150.0,PHASE2
NCT07049679,0.0,
NCT06966427,45.0,
NCT02796170,11.0,PHASE4
NCT00627783,642.0,
NCT01593137,0.0,PHASE4
NCT07156539,546.0,PHASE3
NCT01820377,246.0,
NCT06769477,66.0,
NCT05373212,40.0,PHASE1
NCT04965506,252.0,PHASE2
NCT00399204,0.0,PHASE4
NCT07033585,600.0,PHASE2;PHASE3
NCT06192108,888.0,PHASE3
NCT02811289,22.0,
NCT05309850,90000.0,
NCT00852982,213.0,
NCT05261841,100.0,
NCT02949739,5244.0,
NCT01180712,16.0,
