drug,trial,condition,sponsor,sponsor_class
donepezil treatment,NCT03299257,OSA,Associação Fundo de Incentivo à Pesquisa,OTHER
donepezil treatment,NCT03299257,Sleepiness,Associação Fundo de Incentivo à Pesquisa,OTHER
Donepezil,NCT02415062,Parkinson's Disease,Inje University,OTHER
High-dose donepezil,NCT01495195,Cocaine Use Disorders,Midwest Biomedical Research Foundation,OTHER
Low-dose donepezil,NCT01495195,Cocaine Use Disorders,Midwest Biomedical Research Foundation,OTHER
Donepezil,NCT01276067,Healthy,Ranbaxy Laboratories Limited,INDUSTRY
Donepezil,NCT01276080,Healthy,Ranbaxy Laboratories Limited,INDUSTRY
Donepezil,NCT00142324,Alzheimer's Disease,"Institute of Psychiatry, London",OTHER
Donepezil,NCT00042172,Alzheimer Disease,University of Iowa,OTHER
Donepezil,NCT00042172,Cognition Disorders,University of Iowa,OTHER
Torrent's Donepezil Hydrochloride Tablets 10mg,NCT01419366,Healthy,Torrent Pharmaceuticals Limited,INDUSTRY
Torrent's Donepezil Hydrochloride Tablets 10mg,NCT01419340,Healthy,Torrent Pharmaceuticals Limited,INDUSTRY
"Donepezil,",NCT01255046,Alzheimer Disease,"Sinphar Pharmaceutical Co., Ltd",OTHER
donepezil,NCT00267163,Cognition Disorders,National Institute on Aging (NIA),NIH
Donepezil,NCT00000173,Alzheimer Disease,National Institute on Aging (NIA),NIH
Donepezil 2.5 mg,NCT06687993,Anorexia Nervosa Restricting Type,Centre Hospitalier St Anne,OTHER
Donepezil 5 mg,NCT06687993,Anorexia Nervosa Restricting Type,Centre Hospitalier St Anne,OTHER
Donepezil hydrochloride tablets or carpalatine bitartrate tablets,NCT05641480,Alzheimer Disease,Shaanxi Hospital of Traditional Chinese Medicine,OTHER
Donepezil hydrochloride tablets or carpalatine bitartrate tablets,NCT05641480,Mild Cognitive Impairment,Shaanxi Hospital of Traditional Chinese Medicine,OTHER
Donepezil hydrochloride tablets or carpalatine bitartrate tablets,NCT05641480,Subjective Cognitive Decline,Shaanxi Hospital of Traditional Chinese Medicine,OTHER
Donepezil hydrochloride tablets or carpalatine bitartrate tablets,NCT05641480,Mild Dementia,Shaanxi Hospital of Traditional Chinese Medicine,OTHER
donepezil,NCT00190021,Dementia of Alzheimer Type,Beersheva Mental Health Center,OTHER_GOV
Donepezil,NCT02580305,Alzheimer's Disease,Suven Life Sciences Limited,INDUSTRY
Donepezil Hydrochloride,NCT05078944,Alzheimer Disease 1,"Shanghai Institute of Acupuncture, Moxibustion and Meridian",OTHER
donepezil,NCT01849042,Dementia,Konkuk University Medical Center,OTHER
donepezil,NCT01849042,Alzheimer's Disease,Konkuk University Medical Center,OTHER
Donepezil,NCT01379001,Cholinergic Function,Hebrew SeniorLife,OTHER
donepezil,NCT00139373,"Supranuclear Palsy, Progressive",Groupe Hospitalier Pitie-Salpetriere,OTHER
Donepezil,NCT00465283,Schizophrenia,BeerYaakov Mental Health Center,OTHER_GOV
Donepezil,NCT00465283,Schizoaffective Disorder,BeerYaakov Mental Health Center,OTHER_GOV
Donepezil,NCT00465283,Schizophreniform Disorder,BeerYaakov Mental Health Center,OTHER_GOV
Tianzhi granule and placebo identified to donepezil,NCT02453932,Vascular Dementia,"Dongzhimen Hospital, Beijing",OTHER
Donepezil and placebo identified to Tianzhi granule,NCT02453932,Vascular Dementia,"Dongzhimen Hospital, Beijing",OTHER
Donepezil,NCT01743976,Neuropathic Pain,Wake Forest University,OTHER
donepezil,NCT00619983,Chronic Low Back Pain,Wake Forest University,OTHER
donepezil,NCT00619983,Diabetic Neuropathic Pain,Wake Forest University,OTHER
donepezil 2.5 mg and duloxetine 30mg,NCT00619983,Chronic Low Back Pain,Wake Forest University,OTHER
donepezil 2.5 mg and duloxetine 30mg,NCT00619983,Diabetic Neuropathic Pain,Wake Forest University,OTHER
Donepezil,NCT00423228,Moderate Alzheimer's Disease,Debiopharm International SA,INDUSTRY
Donepezil Hydrochloride,NCT03151382,Alzheimer Disease,Zhejiang Provincial People's Hospital,OTHER
Donepezil Hydrochloride,NCT03151382,Cognitive Function,Zhejiang Provincial People's Hospital,OTHER
Donepezil hydrochloride tablets,NCT07066826,Alzheimer Dementia,"Wanbangde Pharmaceutical Group Co., LTD",INDUSTRY
Huperzine A controlled-release tablets placebo; Donepezil hydrochloride tablets placebo,NCT07066826,Alzheimer Dementia,"Wanbangde Pharmaceutical Group Co., LTD",INDUSTRY
Donepezil,NCT01461174,Healthy,Qualissima,OTHER
Donepezil,NCT01466088,Alzheimer's Disease,Targacept Inc.,INDUSTRY
