sponsor,sponsor_class,trials
First Affiliated Hospital Xi'an Jiaotong University,OTHER,8
University of Palermo,OTHER,8
Technical University of Munich,OTHER,8
Montefiore Medical Center,OTHER,8
Monash University,OTHER,8
Geisinger Clinic,OTHER,8
"University Hospital, Geneva",OTHER,8
Gulhane School of Medicine,OTHER,8
Baylor Research Institute,OTHER,8
Soroka University Medical Center,OTHER,8
Haukeland University Hospital,OTHER,8
Universiti Sains Malaysia,OTHER,8
Creighton University,OTHER,8
Insuline Medical Ltd.,INDUSTRY,8
TNO,OTHER,8
China National Center for Cardiovascular Diseases,OTHER_GOV,8
UMC Utrecht,OTHER,8
University of Valencia,OTHER,8
University of Cincinnati,OTHER,8
"GT Metabolic Solutions, Inc.",INDUSTRY,8
Taipei Medical University,OTHER,8
University of Zurich,OTHER,8
Universitätsklinikum Hamburg-Eppendorf,OTHER,8
"Western University, Canada",OTHER,8
Denver Health and Hospital Authority,OTHER,8
"Suzhou Yabao Pharmaceutical R&D Co., Ltd.",INDUSTRY,8
Fundacion para la Investigacion Biomedica del Hospital Universitario Ramon y Cajal,OTHER,8
Universidade Estadual Paulista Júlio de Mesquita Filho,OTHER,8
Getz Pharma,INDUSTRY,8
University of Milan,OTHER,8
Gazi University,OTHER,8
San Diego State University,OTHER,8
Hennepin Healthcare Research Institute,OTHER,8
Organon and Co,INDUSTRY,8
Gan & Lee Pharmaceuticals.,INDUSTRY,8
Zealand Pharma,INDUSTRY,8
Universita di Verona,OTHER,8
"Clinica Universidad de Navarra, Universidad de Navarra",OTHER,8
Yuhan Corporation,INDUSTRY,8
University of Edinburgh,OTHER,8
JW Pharmaceutical,INDUSTRY,8
Zhongda Hospital,OTHER,8
Phenomix,INDUSTRY,8
Attikon Hospital,OTHER,7
University of Chile,OTHER,7
Esbjerg Hospital - University Hospital of Southern Denmark,OTHER,7
Harokopio University,OTHER,7
Penn State University,OTHER,7
Istanbul Medeniyet University,OTHER,7
"Sunshine Lake Pharma Co., Ltd.",INDUSTRY,7
University of Bath,OTHER,7
University of Surrey,OTHER,7
HighTide Biopharma Pty Ltd,INDUSTRY,7
Centre hospitalier de l'Université de Montréal (CHUM),OTHER,7
Robert Wood Johnson Foundation,OTHER,7
Bayside Health,OTHER_GOV,7
"Daiichi Sankyo Co., Ltd.",INDUSTRY,7
"University Hospital, Angers",OTHER_GOV,7
Medical University of Bialystok,OTHER,7
"First Affiliated Hospital, Sun Yat-Sen University",OTHER,7
GWT-TUD GmbH,OTHER,7
Florida State University,OTHER,7
Virginia Polytechnic Institute and State University,OTHER,7
Nagaoka Red Cross Hospital,OTHER,7
Pamukkale University,OTHER,7
Mahidol University,OTHER,7
"Azienda Ospedaliero, Universitaria Pisana",OTHER,7
Loughborough University,OTHER,7
Damanhour University,OTHER,7
Third Military Medical University,OTHER,7
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,7
Sciema UG,OTHER,7
LabStyle Innovations Ltd.,INDUSTRY,7
West German Center of Diabetes and Health,OTHER,7
